109 8  8
Station_Location: N-S
 -405000  378000  174000   90000   42000   30000  -18000
 -102000  -90000 -102000 -162000 -174000 -234000 -234000
 -306000 -306000 -378000 -378000   54000   30000   18000
   54000  -18000  -30000  -30000  -30000  -30000  -30000
  -30000  -18000  -90000  -90000 -102000  -90000 -102000
 -114000 -102000 -162000 -162000 -198000 -162000 -186000
 -162000 -186000 -174000 -234000 -234000 -258000 -258000
 -258000 -246000 -246000 -246000 -294000 -294000 -318000
 -330000 -318000 -306000 -318000 -318000 -318000 -366000
 -366000 -378000 -390000 -390000 -390000 -378000 -390000
  -90000  354000  390000  378000  294000  294000  294000
  330000  330000  330000  306000  246000  258000  258000
  258000  246000  246000  246000  246000  186000  174000
  198000  198000  186000  186000  186000  174000  126000
  114000  114000  114000  102000  114000  102000  114000
   42000   30000   30000   42000
Station_Location: E-W
 -354000  270000  282000  294000  294000  366000  294000
  258000  318000  405000  246000  318000  258000  330000
  246000  330000  282000  342000 -270000  102000  162000
  210000 -258000 -198000 -102000  -54000   30000   78000
  174000  222000 -318000 -174000 -102000  -30000   30000
  102000  174000 -306000 -270000 -198000 -114000  -18000
   42000  114000  174000 -294000 -246000 -162000 -102000
   -6000   54000  126000  174000 -381000 -282000 -222000
 -150000  -78000  -30000   54000  126000  186000 -306000
 -222000 -162000  -90000  -18000   54000  138000  198000
 -258000 -198000 -150000  186000 -318000 -258000 -150000
 -102000  -18000   42000  198000 -318000 -210000 -126000
  -42000    6000   66000  138000  210000 -306000 -210000
 -150000  -66000    6000   78000  150000  210000 -282000
 -198000 -138000  -66000    6000   66000  150000  222000
 -186000 -114000  -54000    6000
DATA_Period:   102.4000
  1.0347E-004 -6.7524E-005  9.6941E-004 -9.5001E-004 -1.7619E-004  4.4195E-004 -2.1181E-005  6.8993E-007
  2.9110E-004 -3.8336E-004  2.3347E-003 -2.6280E-003 -6.8542E-004  1.7363E-003 -1.3877E-003  1.2394E-003
  1.0221E-004 -6.7001E-005  8.3500E-004 -1.3395E-003 -1.0990E-003  1.7371E-003 -2.5137E-004  1.8569E-004
 -3.2421E-004  2.6283E-004  7.2965E-004 -1.1696E-003 -8.9674E-004  1.0961E-003  1.0836E-004 -3.6721E-005
 -8.3767E-004  9.1809E-004  6.1690E-004 -1.1076E-003 -1.2122E-003  1.5526E-003  3.1468E-004 -4.6834E-004
  1.1933E-004  8.2855E-005  1.7625E-003 -7.9072E-004 -1.2061E-003  4.9646E-004 -2.6695E-004  1.0192E-004
  3.3309E-003 -3.1849E-003  5.5800E-003 -6.6083E-003 -2.4263E-003  3.3213E-003 -1.2078E-003  1.3847E-003
 -6.3731E-004  7.5001E-004  1.0355E-003 -1.5849E-003 -1.0732E-003  1.4562E-003  4.9447E-004 -4.7099E-004
 -7.0330E-005  1.4416E-004  1.2846E-003 -1.9219E-003 -7.7309E-004  1.3672E-003  3.6536E-004 -5.3941E-004
 -1.9046E-004  1.3909E-004  6.1650E-004 -7.7620E-004 -5.6113E-004  7.2657E-004  9.2316E-005 -1.4240E-004
  1.8049E-004 -4.9951E-005  8.9941E-004 -9.0374E-004 -6.4795E-004  8.9362E-004  3.6354E-006 -1.4502E-004
  3.8855E-005 -6.2015E-005  6.3047E-004 -8.4766E-004 -1.0141E-003  1.3541E-003 -2.0228E-004  2.2175E-004
